customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Actual_Churn,Predicted_Churn,Churn_Probability%,Risk_Level
0604-THJFP,Female,0,Yes,Yes,59,DSL,Two year,Credit card (automatic),75.95,4542.35,0,0,4.32573298839327,Low Risk
4059-IIEBK,Female,0,No,No,7,Fiber optic,Month-to-month,Bank transfer (automatic),78.55,522.95,0,1,83.55204812576254,High Risk
2228-BZDEE,Female,0,No,No,54,No,Two year,Mailed check,20.1,1079.45,0,0,1.463280320603163,Low Risk
2839-RFSQE,Female,0,No,No,2,No,Month-to-month,Mailed check,20.65,38.7,1,0,41.02374908831172,Medium Risk
5360-LJCNJ,Female,0,Yes,No,71,Fiber optic,Two year,Bank transfer (automatic),105.15,7555.0,0,0,23.150811905040584,Low Risk
7752-XUSCI,Female,0,No,No,60,Fiber optic,Month-to-month,Electronic check,105.9,6396.45,1,1,77.54724490916405,High Risk
8277-RVRSV,Female,0,Yes,Yes,33,No,One year,Credit card (automatic),24.15,800.3,0,0,5.515796712038299,Low Risk
3530-CRZSB,Female,0,No,No,7,No,Month-to-month,Mailed check,20.65,155.9,0,0,34.56584534219318,Low Risk
2845-HSJCY,Female,0,Yes,Yes,14,Fiber optic,Month-to-month,Electronic check,87.25,1258.6,1,1,81.9461355884568,High Risk
0336-KXKFK,Male,0,No,No,72,DSL,Two year,Credit card (automatic),61.2,4390.25,0,0,4.484108092239336,Low Risk
7044-YAACC,Male,1,Yes,No,4,Fiber optic,Month-to-month,Electronic check,70.2,280.35,0,1,88.083462900333,High Risk
5396-IZEPB,Male,0,No,No,9,No,Month-to-month,Credit card (automatic),19.7,180.7,0,0,36.46319636288068,Low Risk
3317-VLGQT,Female,0,Yes,No,14,Fiber optic,Month-to-month,Electronic check,78.1,1122.4,0,1,79.81364962778585,High Risk
6967-PEJLL,Male,0,Yes,Yes,37,DSL,One year,Electronic check,40.2,1525.35,0,0,9.880906562695838,Low Risk
2091-MJTFX,Female,0,Yes,Yes,30,DSL,Month-to-month,Credit card (automatic),51.2,1561.5,1,0,36.43866670408678,Low Risk
2034-GDRCN,Female,0,No,No,2,Fiber optic,Month-to-month,Electronic check,90.4,168.2,1,1,92.61358609174341,High Risk
8676-TRMJS,Male,0,No,No,3,Fiber optic,Month-to-month,Mailed check,75.0,209.1,1,1,83.61036532307754,High Risk
6298-QDFNH,Male,0,No,No,22,Fiber optic,Month-to-month,Electronic check,79.35,1730.35,1,1,71.38553876330622,High Risk
0701-TJSEF,Male,0,No,No,9,DSL,Month-to-month,Bank transfer (automatic),68.25,576.95,0,0,48.46653826941169,Medium Risk
5743-KHMNA,Male,0,No,No,71,No,Two year,Bank transfer (automatic),25.55,1898.1,0,0,0.9887294331051137,Low Risk
0613-WUXUM,Female,0,Yes,Yes,70,No,Two year,Mailed check,19.2,1401.4,0,0,0.6008816937589484,Low Risk
3137-LUPIX,Female,0,No,No,4,DSL,Month-to-month,Mailed check,64.4,253.0,0,1,71.86525675476484,High Risk
3716-UVSPD,Male,0,No,No,1,DSL,Month-to-month,Electronic check,49.3,49.3,0,1,69.95380496943623,Medium Risk
4800-CZMPC,Female,0,Yes,Yes,48,Fiber optic,One year,Credit card (automatic),103.25,5037.55,1,0,24.34781888049376,Low Risk
5144-PQCDZ,Male,0,No,No,4,No,Month-to-month,Mailed check,19.95,59.25,0,0,47.79263090644821,Medium Risk
9286-DOJGF,Female,1,Yes,No,38,Fiber optic,Month-to-month,Bank transfer (automatic),74.95,2869.85,1,1,59.793318745093046,Medium Risk
6258-NGCNG,Male,0,No,No,7,No,Month-to-month,Mailed check,23.5,173.0,0,0,45.85748990212281,Medium Risk
1335-MXCSE,Male,0,Yes,Yes,55,DSL,Two year,Credit card (automatic),55.25,3119.9,0,0,3.5168651218866365,Low Risk
6322-HRPFA,Male,0,Yes,Yes,49,DSL,Month-to-month,Credit card (automatic),59.6,2970.3,0,0,7.85893750157948,Low Risk
6646-QVXLR,Male,1,Yes,No,62,Fiber optic,One year,Electronic check,103.75,6383.35,1,1,60.13813807298375,Medium Risk
6941-KXRRV,Female,1,Yes,No,48,DSL,One year,Bank transfer (automatic),58.95,2789.7,0,0,10.360498473049566,Low Risk
3716-BDVDB,Male,0,No,No,1,Fiber optic,Month-to-month,Electronic check,69.1,69.1,1,1,89.96706246625278,High Risk
2465-BLLEU,Male,0,No,No,1,No,Month-to-month,Mailed check,19.75,19.75,0,1,52.073718767392954,Medium Risk
1525-LNLOJ,Male,0,Yes,Yes,66,DSL,Two year,Bank transfer (automatic),63.3,4189.7,0,0,6.485757337491302,Low Risk
0390-DCFDQ,Female,1,Yes,No,1,Fiber optic,Month-to-month,Mailed check,70.45,70.45,1,1,84.57885355032253,High Risk
0258-NOKBL,Male,0,No,No,3,Fiber optic,Month-to-month,Electronic check,90.4,268.45,0,1,84.90848791303934,High Risk
6303-KFWSL,Female,0,No,No,29,DSL,One year,Electronic check,55.25,1620.2,0,0,28.898556007648907,Low Risk
1194-BHJYC,Male,0,Yes,No,61,DSL,Two year,Mailed check,62.15,3778.85,0,0,6.235375644025433,Low Risk
5049-GLYVG,Male,0,No,No,1,No,Month-to-month,Mailed check,20.6,20.6,1,0,43.06707768812298,Medium Risk
1685-VAYJF,Male,0,No,No,11,DSL,Month-to-month,Credit card (automatic),45.2,492.0,0,1,54.48426594341937,Medium Risk
2348-KCJLT,Female,0,Yes,No,44,DSL,One year,Mailed check,61.5,2722.2,0,0,5.311178449516539,Low Risk
6425-JWTDV,Male,0,Yes,No,48,No,Two year,Mailed check,19.25,855.1,0,0,0.93551368603492,Low Risk
3022-BEXHZ,Male,0,Yes,Yes,67,Fiber optic,Two year,Bank transfer (automatic),111.2,7530.8,0,0,14.328629033872303,Low Risk
0670-ANMUU,Male,0,No,No,71,Fiber optic,One year,Credit card (automatic),97.65,6687.85,0,0,12.69767596705205,Low Risk
6349-JDHQP,Female,0,No,No,53,No,Two year,Credit card (automatic),19.85,1049.6,0,0,1.8228927487858992,Low Risk
0961-ZWLVI,Male,0,No,Yes,49,Fiber optic,One year,Credit card (automatic),109.2,5290.45,0,0,43.31804829660162,Medium Risk
9289-LBQVU,Male,0,Yes,No,64,DSL,One year,Mailed check,70.15,4480.7,0,0,9.353946294964649,Low Risk
4759-PXTAN,Female,0,Yes,No,59,DSL,One year,Electronic check,80.1,4693.2,0,0,21.9116173734514,Low Risk
6695-AMZUF,Female,0,Yes,No,70,DSL,Two year,Credit card (automatic),86.45,5950.2,0,0,1.8964044350914464,Low Risk
9114-AAFQH,Female,0,Yes,No,48,DSL,One year,Electronic check,65.65,3094.65,0,0,14.158301027703809,Low Risk
9992-UJOEL,Male,0,No,No,2,DSL,Month-to-month,Mailed check,50.3,92.75,0,1,64.58439584492282,Medium Risk
1776-SPBWV,Female,0,Yes,Yes,34,No,One year,Bank transfer (automatic),20.1,682.1,0,0,4.273017088777502,Low Risk
3692-JHONH,Female,1,Yes,No,52,Fiber optic,One year,Electronic check,106.5,5621.85,0,1,67.79927878607592,Medium Risk
7495-OOKFY,Female,1,Yes,No,8,Fiber optic,Month-to-month,Credit card (automatic),80.65,633.3,1,1,84.56861994405848,High Risk
5982-PSMKW,Female,0,Yes,Yes,23,DSL,Two year,Credit card (automatic),91.1,2198.3,0,0,6.305097894065348,Low Risk
3298-QEICA,Female,0,Yes,Yes,23,DSL,Two year,Mailed check,34.6,813.45,0,0,3.122803462016503,Low Risk
8757-TFHHJ,Male,0,No,No,1,DSL,Month-to-month,Credit card (automatic),49.8,49.8,0,1,62.79349419231851,Medium Risk
5022-JNQEQ,Female,0,Yes,Yes,9,Fiber optic,Month-to-month,Electronic check,75.85,647.5,0,1,70.0647749197693,High Risk
2418-TPEUN,Female,0,Yes,Yes,56,No,Two year,Credit card (automatic),19.8,1119.9,0,0,1.4984857422433668,Low Risk
4229-CZMLL,Male,0,No,No,6,Fiber optic,Month-to-month,Electronic check,74.9,469.8,1,1,90.66034850860012,High Risk
0191-EQUUH,Female,0,No,Yes,25,DSL,Two year,Bank transfer (automatic),35.05,844.45,0,0,3.951598157159397,Low Risk
3099-OONVS,Male,0,Yes,Yes,25,DSL,Month-to-month,Electronic check,54.3,1296.8,0,0,15.654118929584678,Low Risk
0491-KAPQG,Male,0,No,No,21,Fiber optic,Month-to-month,Electronic check,73.7,1558.7,0,1,76.7321440044796,High Risk
1090-ESELR,Male,0,Yes,Yes,72,Fiber optic,Two year,Bank transfer (automatic),105.5,7611.55,0,0,3.4087595572600224,Low Risk
2208-NKVVH,Male,0,Yes,Yes,43,No,Two year,Mailed check,24.25,1077.95,0,0,1.3579667846865988,Low Risk
9496-IVVRP,Female,0,Yes,Yes,11,DSL,Month-to-month,Bank transfer (automatic),51.0,581.7,0,0,29.780190873197366,Low Risk
